.................................................................................................... : Generation 1 -- Population: 150, Species: 2, Max Fitness: 1077.09281177 (133),
...........................................................................................+++++++++ : Generation 2 -- Population: 150, Species: 2, Max Fitness: 1117.76782514 (298),
...............................................................................+++++++++++++++++++++ : Generation 3 -- Population: 150, Species: 3, Max Fitness: 1130.23425308 (409),
........................................................++++++++++++++++++++++++++++++++++++++++++++ : Generation 4 -- Population: 150, Species: 3, Max Fitness: 1130.23425308 (409),
...................................................+++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 5 -- Population: 150, Species: 3, Max Fitness: 1130.23425308 (409),
..................................................++++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 6 -- Population: 150, Species: 3, Max Fitness: 1155.57386476 (989),
...................................................+++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 7 -- Population: 150, Species: 3, Max Fitness: 1155.57386476 (989),
....................................................++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 8 -- Population: 150, Species: 3, Max Fitness: 1155.57386476 (989),
...................................................++++++++++++++++++++++++++++++++++++++++++++++++. : Generation 9 -- Population: 150, Species: 3, Max Fitness: 1155.57386476 (989),
....................................................++++++++++++++++++++++++++++++++++++++++++++++++ : Generation 10 -- Population: 150, Species: 3, Max Fitness: 1155.57386476 (989),
....................................................+++++++++++++++++++++++++++++++++++++++++++++++. : Generation 11 -- Population: 150, Species: 3, Max Fitness: 1155.57386476 (989),
.....................................................++++++++++++++++++++++++++++++++++++++++++++++. : Generation 12 -- Population: 150, Species: 3, Max Fitness: 1155.57386476 (989),
....................................................+++++++++++++++++++++++++++++++++++++++++++++++. : Generation 13 -- Population: 150, Species: 5, Max Fitness: 1155.57386476 (989),
..........................................++++++++++++++++++++++++++++++++++++++.................... : Generation 14 -- Population: 150, Species: 5, Max Fitness: 1155.57386476 (989),
........................................++++++++++++++++++++++++++++++++++.......................... : Generation 15 -- Population: 150, Species: 5, Max Fitness: 1155.57386476 (989),
........................................+++++++++++++++++++++++++++++++++++......................... : Generation 16 -- Population: 150, Species: 5, Max Fitness: 1155.57386476 (989),
.........................................++++++++++++++++++++++++++++++............................. : Generation 17 -- Population: 150, Species: 5, Max Fitness: 1155.57386476 (989),
......................................+++++++++++++++++++++++++++++++++++........................... : Generation 18 -- Population: 150, Species: 5, Max Fitness: 1155.57386476 (989),
......................................+++++++++++++++++++++++++++++++++++........................... : Generation 19 -- Population: 150, Species: 5, Max Fitness: 1155.57386476 (989),
......................................+++++++++++++++++++++++++++++++++++........................... : Generation 20 -- Population: 150, Species: 5, Max Fitness: 1155.57386476 (989),
......................................+++++++++++++++++++++++++++++++++++........................... : Generation 21 -- Population: 150, Species: 5, Max Fitness: 1155.57386476 (989),
