.................................................................................................... : Generation 1 -- Population: 150, Species: 1, Max Fitness: 8.99999789071 (58),
.................................................................................................... : Generation 2 -- Population: 150, Species: 1, Max Fitness: 8.99999789071 (58),
.................................................................................................... : Generation 3 -- Population: 150, Species: 1, Max Fitness: 8.99999999988 (209),
.................................................................................................... : Generation 4 -- Population: 150, Species: 1, Max Fitness: 9.0 (423),
.................................................................................................... : Generation 5 -- Population: 150, Species: 1, Max Fitness: 9.0 (681),
.................................................................................................... : Generation 6 -- Population: 150, Species: 1, Max Fitness: 9.0 (681),
.................................................................................................... : Generation 7 -- Population: 150, Species: 1, Max Fitness: 9.0 (681),
.................................................................................................... : Generation 8 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.......................................................................................+++++++++++++ : Generation 9 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
............................................................................++++++++++++++++++++++++ : Generation 10 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 11 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 12 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 13 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.......................................................................+++++++++++++++++++++++++++++ : Generation 14 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 15 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 16 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 17 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 18 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 19 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.......................................................................+++++++++++++++++++++++++++++ : Generation 20 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 21 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 22 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 23 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 24 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 25 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 26 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 27 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 28 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 29 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 30 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 31 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 32 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.......................................................................+++++++++++++++++++++++++++++ : Generation 33 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.........................................................................+++++++++++++++++++++++++++ : Generation 34 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
.......................................................................+++++++++++++++++++++++++++++ : Generation 35 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 36 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
........................................................................++++++++++++++++++++++++++++ : Generation 37 -- Population: 150, Species: 2, Max Fitness: 9.0 (681),
